threshold,f1_cal
0.350000,0.914601
0.360000,0.915285
0.370000,0.915819
0.380000,0.916667
0.390000,0.915663
0.400000,0.918216
0.410000,0.918216
0.420000,0.919070
0.430000,0.919926
0.440000,0.920783
0.450000,0.920635
0.460000,0.919626
0.470000,0.920486
0.480000,0.921348
0.490000,0.922212
0.500000,0.922212
0.510000,0.920188
0.520000,0.918156
0.530000,0.919887
0.540000,0.917847
0.550000,0.921178
0.560000,0.920000
0.570000,0.922488
0.580000,0.919386
0.590000,0.915058
0.600000,0.912791
0.610000,0.912621
0.620000,0.911565
0.630000,0.911565
0.640000,0.910506
0.650000,0.912109
