threshold,f1_cal
0.350000,0.917669
0.360000,0.916667
0.370000,0.917363
0.380000,0.918063
0.390000,0.919776
0.400000,0.919776
0.410000,0.919626
0.420000,0.919476
0.430000,0.919476
0.440000,0.920188
0.450000,0.921053
0.460000,0.920904
0.470000,0.921624
0.480000,0.922495
0.490000,0.922201
0.500000,0.921028
0.510000,0.920877
0.520000,0.919847
0.530000,0.920726
0.540000,0.920726
0.550000,0.917466
0.560000,0.912077
0.570000,0.911025
0.580000,0.908738
0.590000,0.907498
0.600000,0.907498
0.610000,0.905366
0.620000,0.904995
0.630000,0.901575
0.640000,0.899408
0.650000,0.897030
